;Player_Name;Player_id;Position;Team;Season_id;Season_name;Yellow_Cards;Red_Cards;Field Position
0;Medard, Maxime;sr:player:428238;W;France;sr:season:56025;European Cup 18/19;0;0;Back
1;Medard, Maxime;sr:player:428238;W;France;sr:season:35125;European Cup 16/17;0;0;Back
2;Medard, Maxime;sr:player:428238;W;France;sr:season:59616;World Cup 2019;0;0;Back
3;Medard, Maxime;sr:player:428238;W;France;sr:season:10718;Top 14 15/16;0;0;Back
4;Medard, Maxime;sr:player:428238;W;France;sr:season:11032;Six Nations 2016;0;0;Back
5;Medard, Maxime;sr:player:428238;W;France;sr:season:10289;European Cup 15/16;0;0;Back
6;Medard, Maxime;sr:player:428238;W;France;sr:season:45974;Six Nations 2019;0;0;Back
7;Medard, Maxime;sr:player:428238;W;France;sr:season:68606;European Cup 19/20;0;0;Back
8;Fickou, Gael;sr:player:511834;C;France;sr:season:10277;World Cup 2015;0;0;Back
9;Fickou, Gael;sr:player:511834;C;France;sr:season:10289;European Cup 15/16;0;0;Back
10;Fickou, Gael;sr:player:511834;C;France;sr:season:10718;Top 14 15/16;0;0;Back
11;Fickou, Gael;sr:player:511834;C;France;sr:season:11032;Six Nations 2016;0;0;Back
12;Fickou, Gael;sr:player:511834;C;France;sr:season:35125;European Cup 16/17;0;0;Back
13;Fickou, Gael;sr:player:511834;C;France;sr:season:36632;Six Nations 2017;0;0;Back
14;Fickou, Gael;sr:player:511834;C;France;sr:season:45972;Six Nations 2018;0;0;Back
15;Fickou, Gael;sr:player:511834;C;France;sr:season:45974;Six Nations 2019;1;0;Back
16;Fickou, Gael;sr:player:511834;C;France;sr:season:59616;World Cup 2019;0;0;Back
17;Alldritt, Gregory;sr:player:1325424;BR;France;sr:season:59616;World Cup 2019;0;0;Forward
18;Alldritt, Gregory;sr:player:1325424;BR;France;sr:season:45974;Six Nations 2019;0;0;Forward
19;Alldritt, Gregory;sr:player:1325424;BR;France;sr:season:68606;European Cup 19/20;0;0;Forward
20;N'tamack, Romain;sr:player:1146768;FH;France;sr:season:56025;European Cup 18/19;0;0;Back
21;N'tamack, Romain;sr:player:1146768;FH;France;sr:season:59616;World Cup 2019;0;0;Back
22;N'tamack, Romain;sr:player:1146768;FH;France;sr:season:45974;Six Nations 2019;0;0;Back
23;N'tamack, Romain;sr:player:1146768;FH;France;sr:season:68606;European Cup 19/20;0;0;Back
24;Barassi, Pierre-Louis;sr:player:1068550;C;France;sr:season:56025;European Cup 18/19;0;0;Back
25;Barassi, Pierre-Louis;sr:player:1068550;C;France;sr:season:68606;European Cup 19/20;0;0;Back
26;Mauvaka, Peato;sr:player:955152;HO;France;sr:season:56025;European Cup 18/19;0;0;Forward
27;Mauvaka, Peato;sr:player:955152;HO;France;sr:season:68606;European Cup 19/20;0;0;Forward
28;Setiano, Emerick;sr:player:952348;PR;France;sr:season:56025;European Cup 18/19;0;0;Forward
29;Setiano, Emerick;sr:player:952348;PR;France;sr:season:59616;World Cup 2019;0;0;Forward
30;Raka, Alivereti;sr:player:939646;W;France;sr:season:10718;Top 14 15/16;0;0;Back
31;Raka, Alivereti;sr:player:939646;W;France;sr:season:45148;European Cup 17/18;0;0;Back
32;Raka, Alivereti;sr:player:939646;W;France;sr:season:59616;World Cup 2019;0;0;Back
33;Raka, Alivereti;sr:player:939646;W;France;sr:season:68606;European Cup 19/20;0;0;Back
34;Penaud, Damian;sr:player:801908;W;France;sr:season:35125;European Cup 16/17;0;0;Back
35;Penaud, Damian;sr:player:801908;W;France;sr:season:45148;European Cup 17/18;0;0;Back
36;Penaud, Damian;sr:player:801908;W;France;sr:season:59616;World Cup 2019;0;0;Back
37;Penaud, Damian;sr:player:801908;W;France;sr:season:10718;Top 14 15/16;0;0;Back
38;Penaud, Damian;sr:player:801908;W;France;sr:season:45974;Six Nations 2019;0;0;Back
39;Dupont, Antoine;sr:player:768562;SH;France;sr:season:35125;European Cup 16/17;0;0;Back
40;Dupont, Antoine;sr:player:768562;SH;France;sr:season:45974;Six Nations 2019;0;0;Back
41;Dupont, Antoine;sr:player:768562;SH;France;sr:season:56025;European Cup 18/19;0;0;Back
42;Dupont, Antoine;sr:player:768562;SH;France;sr:season:59616;World Cup 2019;0;0;Back
43;Gabrillagues, Paul;sr:player:765318;L;France;sr:season:10289;European Cup 15/16;0;0;Forward
44;Gabrillagues, Paul;sr:player:765318;L;France;sr:season:10718;Top 14 15/16;0;0;Forward
45;Gabrillagues, Paul;sr:player:765318;L;France;sr:season:35125;European Cup 16/17;0;0;Forward
46;Gabrillagues, Paul;sr:player:765318;L;France;sr:season:45972;Six Nations 2018;0;0;Forward
47;Gabrillagues, Paul;sr:player:765318;L;France;sr:season:59616;World Cup 2019;0;0;Forward
48;Ramos, Thomas;sr:player:548996;FB;France;sr:season:56025;European Cup 18/19;0;0;Back
49;Ramos, Thomas;sr:player:548996;FB;France;sr:season:45974;Six Nations 2019;0;0;Back
50;Ramos, Thomas;sr:player:548996;FB;France;sr:season:59616;World Cup 2019;0;0;Back
51;Ramos, Thomas;sr:player:548996;FB;France;sr:season:68606;European Cup 19/20;0;0;Back
52;Chat, Camille;sr:player:535082;HO;France;sr:season:10289;European Cup 15/16;0;0;Forward
53;Chat, Camille;sr:player:535082;HO;France;sr:season:10718;Top 14 15/16;0;0;Forward
54;Chat, Camille;sr:player:535082;HO;France;sr:season:35125;European Cup 16/17;0;0;Forward
55;Chat, Camille;sr:player:535082;HO;France;sr:season:36632;Six Nations 2017;0;0;Forward
56;Chat, Camille;sr:player:535082;HO;France;sr:season:45148;European Cup 17/18;0;0;Forward
57;Chat, Camille;sr:player:535082;HO;France;sr:season:45974;Six Nations 2019;1;0;Forward
58;Chat, Camille;sr:player:535082;HO;France;sr:season:56025;European Cup 18/19;0;0;Forward
59;Chat, Camille;sr:player:535082;HO;France;sr:season:59616;World Cup 2019;0;0;Forward
60;Chat, Camille;sr:player:535082;HO;France;sr:season:68606;European Cup 19/20;0;0;Forward
61;Camara, Yacouba;sr:player:512794;BR;France;sr:season:35125;European Cup 16/17;0;0;Forward
62;Camara, Yacouba;sr:player:512794;BR;France;sr:season:10718;Top 14 15/16;0;0;Forward
63;Camara, Yacouba;sr:player:512794;BR;France;sr:season:11032;Six Nations 2016;0;0;Forward
64;Camara, Yacouba;sr:player:512794;BR;France;sr:season:10289;European Cup 15/16;1;0;Forward
65;Camara, Yacouba;sr:player:512794;BR;France;sr:season:45148;European Cup 17/18;0;0;Forward
66;Camara, Yacouba;sr:player:512794;BR;France;sr:season:45972;Six Nations 2018;0;0;Forward
67;Camara, Yacouba;sr:player:512794;BR;France;sr:season:45974;Six Nations 2019;0;0;Forward
68;Camara, Yacouba;sr:player:512794;BR;France;sr:season:56025;European Cup 18/19;0;0;Forward
69;Camara, Yacouba;sr:player:512794;BR;France;sr:season:59616;World Cup 2019;0;0;Forward
70;Camara, Yacouba;sr:player:512794;BR;France;sr:season:68606;European Cup 19/20;0;0;Forward
71;Rattez, Vincent;sr:player:512726;FB;France;sr:season:45148;European Cup 17/18;0;0;Back
72;Rattez, Vincent;sr:player:512726;FB;France;sr:season:68606;European Cup 19/20;0;0;Back
